Var1	SBS7c	SBS38	SBS19	SBS4	SBS15	SBS36	SBS1	SBS5	SBS7b	SBS16	SBS7d	SBS12	SBS21	SBS23	SBS37	SBS41	SBS52	SBS53	SBS43	SBS20	SBS31	SBS33	SBS39	SBS17a	SBS44	SBS56	SBS28	SBS51	SBS45	SBS11	SBS35	SBS8	SBS10a	SBS10b	SBS14	SBS58	SBS7a	SBS26	SBS2	SBS9	SBS3	SBS13	SBS29	SBS34	SBS17b	SBS30	SBS18	SBS24	SBS6	SBS54	SBS22	SBS40
SBS7c	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
SBS38	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
SBS19	0	0	2	1	0	0	2	2	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	2
SBS4	0	0	1	3	0	0	3	3	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	0	1	1	0	0	1	0	1	1	2	1	1	2	1	0	2	1	2	1	1	1	1	2
SBS15	0	0	0	0	3	0	3	3	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	2	3	0	3	1	1	0	0	0	2	2	1	1	0	2	2	1	2	2	0	0	2	0	2	0	1	0	0	3
SBS36	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	2	2	2	2	0	1	1	1	0	0	2	0	0	1
SBS1	1	1	2	3	3	2	23	23	2	2	2	1	1	1	5	6	1	1	1	2	1	2	3	11	3	2	6	2	2	2	2	8	2	2	2	4	2	6	17	6	11	17	4	1	11	5	10	1	5	1	3	21
SBS5	1	1	2	3	3	2	23	23	2	2	2	1	1	1	5	6	1	1	1	2	1	2	3	11	3	2	6	2	2	2	2	8	2	2	2	4	2	6	17	6	11	17	4	1	11	5	10	1	5	1	3	21
SBS7b	1	1	0	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	0	0	2
SBS16	0	0	1	2	0	0	2	2	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	2	1	2	1	1	1	1	2
SBS7d	1	1	0	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	0	0	2
SBS12	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS21	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1
SBS23	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SBS37	0	0	0	0	1	1	5	5	0	0	0	0	0	0	5	2	1	0	0	0	0	1	0	3	1	1	1	0	2	1	0	2	1	1	0	1	0	0	3	2	3	3	0	1	3	1	3	0	1	0	0	5
SBS41	0	0	0	0	1	0	6	6	0	0	0	0	1	0	2	6	1	0	1	1	0	1	1	2	1	0	1	1	1	0	1	3	0	0	0	2	0	2	6	2	4	6	2	0	2	0	4	0	0	0	2	6
SBS52	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1
SBS53	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS43	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1
SBS20	0	0	0	0	1	0	2	2	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	2	1	0	2	2	0	0	0	1	0	0	0	1	0	2	2	1	2	2	0	0	2	1	2	0	1	0	0	2
SBS31	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS33	0	0	0	1	0	0	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	2	0	2	2	0	0	1	0	2	0	0	0	0	2
SBS39	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	3	0	0	0	0	0	2	2	1	2	2	0	0	0	1	2	0	1	0	0	2
SBS17a	1	1	1	2	2	1	11	11	2	2	2	1	1	0	3	2	0	1	1	2	1	1	0	11	2	2	5	2	1	0	1	3	1	1	1	2	2	3	9	4	7	9	2	1	11	3	7	1	3	1	1	11
SBS44	0	0	0	0	3	0	3	3	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	2	3	0	3	1	1	0	0	0	2	2	1	1	0	2	2	1	2	2	0	0	2	0	2	0	1	0	0	3
SBS56	0	0	1	1	0	1	2	2	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	2	0	2	1	0	0	0	1	0	0	0	1	0	0	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2
SBS28	0	0	1	1	3	0	6	6	0	1	0	1	1	0	1	1	0	1	1	2	1	0	0	5	3	1	6	2	1	0	1	1	2	2	2	1	0	4	4	2	4	4	1	0	5	2	5	1	3	1	1	6
SBS51	0	0	0	0	1	0	2	2	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	2	1	0	2	2	0	0	0	1	0	0	0	1	0	2	2	1	2	2	0	0	2	1	2	0	1	0	0	2
SBS45	0	0	0	0	1	0	2	2	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	1	1	0	1	0	2	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	2
SBS11	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	2	0	0	1	0	0	1
SBS35	0	0	1	1	0	0	2	2	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	2	1	0	0	1	0	0	2	1	1	1	1	1	0	1	1	2	1	1	1	1	2
SBS8	0	0	0	1	0	1	8	8	0	0	0	0	0	0	2	3	1	0	0	1	0	1	3	3	0	0	1	1	1	1	1	8	0	0	0	1	0	3	7	2	6	7	0	0	3	3	5	0	2	0	0	6
SBS10a	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	2	2	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	2
SBS10b	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	2	2	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	2
SBS14	0	0	1	1	1	0	2	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	2	0	0	0	1	0	1	1	2	0	0	2	1	1	1	1	1	0	1	1	1	1	2	1	1	2
SBS58	1	1	0	0	1	0	4	4	1	0	1	0	1	0	1	2	1	0	1	1	0	1	0	2	1	0	1	1	1	0	0	1	0	0	0	4	1	1	4	1	2	4	0	0	2	0	2	0	0	0	0	4
SBS7a	1	1	0	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	0	0	2
SBS26	0	0	1	1	2	1	6	6	0	1	0	1	1	0	0	2	0	1	1	2	1	0	2	3	2	1	4	2	0	1	2	3	1	1	2	1	0	6	5	3	5	5	1	0	3	3	4	1	4	1	1	5
SBS2	1	1	0	2	2	2	17	17	2	1	2	0	1	0	3	6	1	0	1	2	0	2	2	9	2	1	4	2	1	1	1	7	1	1	1	4	2	5	17	4	11	17	3	1	9	3	7	0	4	0	2	15
SBS9	0	0	1	1	1	2	6	6	0	1	0	1	1	0	2	2	0	1	1	1	1	0	1	4	1	2	2	1	0	1	1	2	0	0	1	1	0	3	4	6	4	4	1	1	4	2	3	1	3	1	1	5
SBS3	0	0	0	1	2	2	11	11	1	1	1	0	1	0	3	4	1	0	1	2	0	2	2	7	2	1	4	2	1	1	1	6	1	1	1	2	1	5	11	4	11	11	0	1	7	3	7	0	4	0	0	10
SBS13	1	1	0	2	2	2	17	17	2	1	2	0	1	0	3	6	1	0	1	2	0	2	2	9	2	1	4	2	1	1	1	7	1	1	1	4	2	5	17	4	11	17	3	1	9	3	7	0	4	0	2	15
SBS29	0	0	1	1	0	0	4	4	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	1	3	1	0	3	4	0	2	1	1	1	1	1	3	4
SBS34	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1
SBS17b	1	1	1	2	2	1	11	11	2	2	2	1	1	0	3	2	0	1	1	2	1	1	0	11	2	2	5	2	1	0	1	3	1	1	1	2	2	3	9	4	7	9	2	1	11	3	7	1	3	1	1	11
SBS30	0	0	1	1	0	1	5	5	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	3	0	1	2	1	0	2	1	3	0	0	1	0	0	3	3	2	3	3	1	0	3	5	2	1	3	1	1	4
SBS18	0	0	1	2	2	0	10	10	1	2	1	1	1	0	3	4	1	1	1	2	1	2	2	7	2	1	5	2	2	0	2	5	1	1	1	2	1	4	7	3	7	7	1	0	7	2	10	1	2	1	1	10
SBS24	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS6	0	0	1	1	1	2	5	5	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	3	1	2	3	1	0	1	1	2	1	1	2	0	0	4	4	3	4	4	1	1	3	3	2	1	5	1	1	4
SBS54	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS22	0	0	1	1	0	0	3	3	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	2	1	0	2	3	0	1	1	1	1	1	1	3	3
SBS40	1	1	2	2	3	1	21	21	2	2	2	1	1	1	5	6	1	1	1	2	1	2	2	11	3	2	6	2	2	1	2	6	2	2	2	4	2	5	15	5	10	15	4	1	11	4	10	1	4	1	3	21
